State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
01,Alabama,4841164.0,38.6,44758.0,24736.0,868666.0,17.943329331540927,3.8106331452518445
02,Alaska,736855.0,33.6,74444.0,34191.0,72826.0,9.88335561270535,4.090221278270487
04,Arizona,6728577.0,37.1,51340.0,26686.0,1165636.0,17.323662937943638,3.7150797263671054
05,Arkansas,2968472.0,37.7,42336.0,23401.0,542431.0,18.27307112885013,3.1393255520011643
06,California,38654206.0,36.0,63783.0,31458.0,6004257.0,15.533256587911804,4.355867508958792
08,Colorado,5359295.0,36.4,62520.0,33230.0,637938.0,11.903394009846444,3.203686305754768
09,Connecticut,3588570.0,40.6,71755.0,39906.0,360464.0,10.044781068782273,4.319408566643538
10,Delaware,934695.0,39.6,61017.0,31118.0,109448.0,11.70948812179374,3.6021375956862935
11,District of Columbia,659009.0,33.8,72935.0,48781.0,112060.0,17.00432012309392,5.0569870821187575
12,Florida,19934451.0,41.6,48900.0,27598.0,3139258.0,15.747902964571233,4.023266053326475
13,Georgia,10099320.0,36.2,51037.0,26678.0,1746894.0,17.297144758260952,4.149913063453777
15,Hawaii,1413673.0,38.5,71977.0,30970.0,148577.0,10.509997715171755,2.7423597960773107
16,Idaho,1635483.0,35.7,49174.0,24280.0,244585.0,14.954909344823516,2.9584532520362488
17,Illinois,12851684.0,37.4,59196.0,31502.0,1753731.0,13.645923755984041,4.245630378088973
18,Indiana,6589578.0,37.4,50433.0,26117.0,957694.0,14.533464813680027,3.4741071431281334
19,Iowa,3106589.0,38.0,54570.0,28872.0,369828.0,11.904632379757992,2.4235262533923865
20,Kansas,2898292.0,36.2,53571.0,28478.0,373162.0,12.875238243765638,2.725743299846944
21,Kentucky,4411989.0,38.6,44811.0,24802.0,804139.0,18.226224045436197,3.5473569857041802
22,Louisiana,4645670.0,36.2,45652.0,25515.0,889570.0,19.148368265503144,3.623287921871334
23,Maine,1329923.0,44.0,50826.0,28473.0,174405.0,13.113917121517561,3.1295044901095777
24,Maryland,5959902.0,38.3,76067.0,37756.0,576835.0,9.678598742059853,3.6256636434625937
25,Massachusetts,6742143.0,39.4,70954.0,38069.0,740836.0,10.988138341177278,3.7428307290426797
26,Michigan,9909600.0,39.5,50803.0,27549.0,1575066.0,15.894344877694357,4.167009768305482
27,Minnesota,5450868.0,37.8,63217.0,33225.0,577196.0,10.589065814839032,2.6757756746265
28,Mississippi,2989192.0,36.7,40528.0,21651.0,645553.0,21.59623737785997,4.3101948620229145
29,Missouri,6059651.0,38.3,49593.0,27044.0,897755.0,14.815292167816265,3.3028799843423324
30,Montana,1023391.0,39.8,48380.0,27309.0,148677.0,14.527878396429127,2.871043423285919
31,Nebraska,1881259.0,36.2,54384.0,28596.0,227021.0,12.067503730214712,2.261464264091228
32,Nevada,2839172.0,37.5,53094.0,27253.0,417257.0,14.69643262190526,4.7029556504502015
33,New Hampshire,1327503.0,42.4,68485.0,35264.0,109690.0,8.262881515145352,2.841952146247504
34,New Jersey,8915456.0,39.5,73702.0,37538.0,949341.0,10.648260728335153,4.137421574398438
35,New Mexico,2082669.0,37.2,45674.0,24459.0,426814.0,20.493607001400605,3.8976428803616896
36,New York,19697457.0,38.2,60741.0,34212.0,2967564.0,15.065721427898028,3.854426487642542
37,North Carolina,9940828.0,38.3,48256.0,26779.0,1631704.0,16.414165902478143,4.069922545687342
38,North Dakota,736162.0,35.2,59114.0,33107.0,79314.0,10.773987247372181,1.528196239414694
39,Ohio,11586941.0,39.3,50674.0,27800.0,1732839.0,14.955103335729422,3.6589122185052982
40,Oklahoma,3875589.0,36.2,48038.0,25628.0,621155.0,16.027370291328623,2.841374562679376
41,Oregon,3982267.0,39.1,53270.0,28822.0,614223.0,15.423953240704353,4.037825690743489
42,Pennsylvania,12783977.0,40.6,54895.0,30137.0,1647762.0,12.88927537964125,3.664274427277208
44,Rhode Island,1054491.0,39.9,58387.0,31904.0,140161.0,13.291815672205832,4.134696265781311
45,South Carolina,4834605.0,38.8,46898.0,25521.0,806422.0,16.680204484130556,4.022127971157933
46,South Dakota,851058.0,36.8,52078.0,27516.0,115300.0,13.5478428027232,2.1897449997532483
47,Tennessee,6548009.0,38.5,46574.0,26019.0,1100169.0,16.80158044987415,3.640373738032431
48,Texas,26956435.0,34.2,54727.0,27828.0,4397307.0,16.312642973746343,3.1463025433444742
49,Utah,2948427.0,30.3,62518.0,25600.0,338808.0,11.49114426099069,2.4797629380005
50,Vermont,626249.0,42.6,56104.0,30663.0,69673.0,11.12544690690125,2.728467430686516
51,Virginia,8310301.0,37.8,66149.0,34967.0,921664.0,11.090621145972932,3.0725722209099287
53,Washington,7073146.0,37.6,62848.0,32999.0,883256.0,12.48745607682918,3.4594507168380235
54,West Virginia,1846092.0,41.9,42644.0,24002.0,318060.0,17.22882716571005,3.3159235834400453
55,Wisconsin,5754798.0,39.1,54610.0,29253.0,713472.0,12.397863487128479,2.944082485605924
56,Wyoming,583029.0,36.8,59143.0,30139.0,65762.0,11.279370322917043,2.593009953192723
72,Puerto Rico,3529385.0,39.4,19606.0,11688.0,1577075.0,44.68413052132312,6.428315414725228
