State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
72,"Utuado Municipio, Puerto Rico",30209.0,41.7,15931.0,8140.0,16000.0,52.96434837300142,9.321725313648251
72,"Arecibo Municipio, Puerto Rico",89550.0,41.4,17289.0,9954.0,43039.0,48.06141820212172,5.4148520379676155
72,"Arroyo Municipio, Puerto Rico",18504.0,38.7,15689.0,7639.0,10487.0,56.674232598357115,3.777561608300908
72,"Cataño Municipio, Puerto Rico",25595.0,39.1,18663.0,11627.0,12639.0,49.38073842547372,11.674155108419614
72,"Florida Municipio, Puerto Rico",12140.0,38.2,16919.0,7837.0,6839.0,56.33443163097199,5.345963756177924
72,"Hatillo Municipio, Puerto Rico",40978.0,40.7,17770.0,10360.0,18522.0,45.19986334130509,3.0504172970862413
72,"Humacao Municipio, Puerto Rico",54736.0,41.3,18735.0,11682.0,24820.0,45.34492838351359,4.176410406313943
72,"Juana Díaz Municipio, Puerto Rico",47952.0,37.5,20228.0,10244.0,22662.0,47.25975975975976,8.842175508842175
72,"Morovis Municipio, Puerto Rico",31785.0,37.0,18739.0,8816.0,15639.0,49.20245398773006,6.934088406481044
72,"Mayagüez Municipio, Puerto Rico",79615.0,39.9,14642.0,10656.0,40790.0,51.234063932676,8.791056961627834
72,"Santa Isabel Municipio, Puerto Rico",22475.0,37.2,16816.0,10478.0,11045.0,49.143492769744164,3.506117908787542
72,"Trujillo Alto Municipio, Puerto Rico",69478.0,39.3,31202.0,15703.0,21009.0,30.238348829845417,3.1650306571864477
72,"Quebradillas Municipio, Puerto Rico",24548.0,39.3,16082.0,9287.0,12679.0,51.6498289066319,4.000325892129705
72,"Guayama Municipio, Puerto Rico",42623.0,37.5,15296.0,9183.0,22269.0,52.24643971564648,1.9074208760528353
72,"Moca Municipio, Puerto Rico",37676.0,38.6,13413.0,7881.0,21615.0,57.3707399936299,8.164348656969954
72,"Culebra Municipio, Puerto Rico",1494.0,39.3,23355.0,11450.0,615.0,41.16465863453815,0.7362784471218207
72,"Gurabo Municipio, Puerto Rico",47074.0,38.3,32625.0,16559.0,14583.0,30.978884309810088,6.583251901261843
72,"Salinas Municipio, Puerto Rico",29239.0,38.4,16246.0,8738.0,15586.0,53.305516604535036,2.8489346420876225
72,"Barceloneta Municipio, Puerto Rico",24583.0,38.7,17113.0,8762.0,11936.0,48.55387869666029,5.365496481308221
72,"Loíza Municipio, Puerto Rico",27242.0,37.5,17273.0,8729.0,14113.0,51.806034799207104,11.05645694148741
72,"Yauco Municipio, Puerto Rico",37585.0,42.1,14451.0,8124.0,18800.0,50.01995476918984,7.574830384461887
72,"Guaynabo Municipio, Puerto Rico",90773.0,42.7,34060.0,24264.0,24289.0,26.7579566611217,4.733786478358102
72,"Aguadilla Municipio, Puerto Rico",55722.0,40.6,16821.0,10872.0,27928.0,50.12023976167402,7.250278166612828
72,"Cabo Rojo Municipio, Puerto Rico",49726.0,42.3,16461.0,9523.0,26021.0,52.32876161364276,3.690222418855327
72,"Fajardo Municipio, Puerto Rico",33075.0,40.7,18941.0,10900.0,14371.0,43.44973544973545,12.151171579743009
72,"Las Marías Municipio, Puerto Rico",8874.0,40.1,14404.0,7154.0,5070.0,57.133198106828935,0.6423258958755916
72,"Patillas Municipio, Puerto Rico",17769.0,43.3,14512.0,8679.0,10182.0,57.30204288367381,5.65028983060386
72,"Rincón Municipio, Puerto Rico",14526.0,44.6,18292.0,10220.0,7047.0,48.513011152416354,4.874019000413052
72,"Villalba Municipio, Puerto Rico",23659.0,37.6,19893.0,10449.0,11740.0,49.621708440762504,9.586203981571495
72,"Aguas Buenas Municipio, Puerto Rico",26855.0,40.4,16733.0,10615.0,12910.0,48.07298454663936,7.227704338112083
